Year,Municipality,Crop,Variety,Farms,Acres,Yield/Acre,t,i
2000,PRAIRIE VIEW,ARGENTINE CANOLA,EBONY <MONSANTO> |PR 2610|,7,1833,0.788,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,INNOVATOR (HCN 92) (LT),3,655,0.502,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,INVIGOR 2273 (PHY 36) (LT),36,5777,0.708,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,LG 3295 (RT),4,603,0.666,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,OAC DYNAMITE <BONIS> |BC 94-123|,8,1784,0.602,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,Q 2,7,1525,0.683,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,QUANTUM (91-21864 NA),10,1081,0.612,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,QUEST (RU3) (RT),16,2383,0.649,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,SW ARROW (SWO2601)(RT),5,551,0.721,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,2153 <INVIGOR> (LT),4,719,0.606,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,2573 <INVIGOR> |PHS98-640| (LT),4,647,0.734,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,3235 <MONSANTO> |PR4406| (RT),39,6623,0.721,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,3311 <MONSANTO> |PR 5369|,8,1095,0.75,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,"401 (AV9401,HYOLA 404)",5,818,0.764,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,45A71 (NS1471)(ST),9,2799,0.658,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,46A52 (NS2501)(RT),9,1347,0.69,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,46A65 <PIONEER> |NS1565|,20,3454,0.736,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,46A73 (NS 2207) (ST),14,2285,0.729,5,62
2000,PRAIRIE VIEW,ARGENTINE CANOLA,46A76 <PIONEER> |NS2804| (ST),25,5721,0.739,5,62
2000,PRAIRIE VIEW,BARLEY,AC LACOMBE (BT 634),22,2911,1.253,5,62
2000,PRAIRIE VIEW,BARLEY,AC METCALFE (TR 232),26,3733,1.287,5,62
2000,PRAIRIE VIEW,BARLEY,AC OXBOW (TR226),21,2803,1.277,5,62
2000,PRAIRIE VIEW,BARLEY,BRONCO (BT 934),5,549,1.289,5,62
2000,PRAIRIE VIEW,BARLEY,CDC DOLLY (TR 318),14,3182,1.321,5,62
2000,PRAIRIE VIEW,BARLEY,CDC GAINER (HB 326),5,955,1.182,5,62
2000,PRAIRIE VIEW,BARLEY,EXCEL (M52),46,8736,1.316,5,62
2000,PRAIRIE VIEW,BARLEY,HARRINGTON,18,3352,1.319,5,62
2000,PRAIRIE VIEW,BARLEY,ROBUST,35,5111.1,1.304,5,62
2000,PRAIRIE VIEW,DURUM WHEAT,AC AVONLEA (DT661),9,842,1.009,5,62
2000,PRAIRIE VIEW,FIELD PEAS,CARNEVAL (SVE36121),5,884,1.099,5,62
2000,PRAIRIE VIEW,FIELD PEAS,DELTA (CEBECO 1431),7,1490,1.147,5,62
2000,PRAIRIE VIEW,FIELD PEAS,"MAJORET (ATLAS, SVC35121)",19,2571,1.063,5,62
2000,PRAIRIE VIEW,FIELD PEAS,SWING (CEB 1437),12,1772,1.377,5,62
2000,PRAIRIE VIEW,FLAX,FLANDERS (FP 859),19,2413,0.522,5,62
2000,PRAIRIE VIEW,FLAX,NORLIN,11,1208,0.435,5,62
2000,PRAIRIE VIEW,FLAX,989 (LINOLA 989),4,636,0.462,5,62
2000,PRAIRIE VIEW,GREENFEED,BARLEY,11,903.5,2.237,5,62
2000,PRAIRIE VIEW,GREENFEED,OATS,17,1150,1.925,5,62
2000,PRAIRIE VIEW,LENTILS,ESTON,6,971,0.546,5,62
2000,PRAIRIE VIEW,OATS,AC ASSINIBOIA (OT 275),20,2035,1.266,5,62
2000,PRAIRIE VIEW,OATS,AC PREAKNESS (OT262),5,547,1.015,5,62
2000,PRAIRIE VIEW,OATS,DUMONT,8,517,1.04,5,62
2000,PRAIRIE VIEW,OATS,ROBERT,21,1608,1.213,5,62
2000,PRAIRIE VIEW,OATS,TRIPLE CROWN (OT 541),28,3230,1.334,5,62
2000,PRAIRIE VIEW,RAPESEED,MILLENNIUM 01 (HR 942),4,805,0.643,5,62
2000,PRAIRIE VIEW,RAPESEED,MILLENNIUM 03,5,741,0.588,5,62
2000,PRAIRIE VIEW,RED SPRING WHEAT,AC BARRIE (BW 661),129,38027,1.026,5,62
2000,PRAIRIE VIEW,RED SPRING WHEAT,AC CADILLAC (BW 689),22,4893,1.015,5,62
2000,PRAIRIE VIEW,RED SPRING WHEAT,AC CORA (BW 152),8,1704,1.097,5,62
2000,PRAIRIE VIEW,RED SPRING WHEAT,AC DOMAIN (BW 148),16,3856,1.001,5,62
2000,PRAIRIE VIEW,RED SPRING WHEAT,AC ELSA (BW 685),16,4143,1.06,5,62
2000,PRAIRIE VIEW,RED SPRING WHEAT,AC INTREPID (BW 693),6,595,1.076,5,62
2000,PRAIRIE VIEW,RED SPRING WHEAT,AC MAJESTIC (BW 173),8,1932,1.001,5,62
2000,PRAIRIE VIEW,RED SPRING WHEAT,CDC TEAL (BW 616),54,13948,1.075,5,62
2000,PRAIRIE VIEW,WINTER WHEAT,CDC CLAIR,14,1746,1.813,5,62
2000,REYNOLDS,BARLEY,STANDER,7,1151,1.104,5,63
2000,REYNOLDS,RED SPRING WHEAT,AC BARRIE (BW 661),11,1875,0.931,5,63
2000,REYNOLDS,WHITE PEA BEANS,ENVOY,5,914,0.355,5,63
2000,RHINELAND,ARGENTINE CANOLA,AGASSIZ (GOH 18),8,1308,0.854,5,64
2000,RHINELAND,ARGENTINE CANOLA,CONQUEST (A98-9NR)(RT),31,3414,0.782,5,64
2000,RHINELAND,ARGENTINE CANOLA,QUEST (RU3) (RT),56,6181,0.778,5,64
2000,RHINELAND,ARGENTINE CANOLA,3345 <MONSANTO> |PR3665| (RT),8,607,0.814,5,64
2000,RHINELAND,ARGENTINE CANOLA,"401 (AV9401,HYOLA 404)",12,1422,0.882,5,64
2000,RHINELAND,ARGENTINE CANOLA,46A65 <PIONEER> |NS1565|,19,2417,0.861,5,64
2000,RHINELAND,ARGENTINE CANOLA,46A76 <PIONEER> |NS2804| (ST),8,1198,0.871,5,64
2000,RHINELAND,BARLEY,BEDFORD,12,598,1.564,5,64
2000,RHINELAND,BARLEY,CDC STRATUS (TR 128),21,1780,1.727,5,64
2000,RHINELAND,BARLEY,ROBUST,20,2109,1.681,5,64
2000,RHINELAND,BLACK BEANS,AC HARBLACK,63,6642,0.773,5,64
2000,RHINELAND,BLACK BEANS,ONYX (ROG 925),11,787,0.644,5,64
2000,RHINELAND,CRANBERRY BEANS,CRAN 09,14,2372,0.385,5,64
2000,RHINELAND,FLAX,AC MCDUFF,6,890,0.61,5,64
2000,RHINELAND,FLAX,FLANDERS (FP 859),8,535,0.523,5,64
2000,RHINELAND,FLAX,NORLIN,12,1158,0.603,5,64
2000,RHINELAND,GRAIN CORN,HYLAND HL 2017,5,506,2.481,5,64
2000,RHINELAND,GRAIN CORN,HYLAND HL 2093 (HLX 801),8,833,2.598,5,64
2000,RHINELAND,GRAIN CORN,PIONEER 39B42,11,875,2.206,5,64
2000,RHINELAND,GRAIN CORN,PIONEER 39J69 (BT),11,820,2.608,5,64
2000,RHINELAND,GRAIN CORN,PIONEER 39K72,25,1781,2.646,5,64
2000,RHINELAND,GRAIN CORN,PIONEER 39K73 (BT),32,3714,2.68,5,64
2000,RHINELAND,GRAIN CORN,PIONEER 39T68,8,977,2.682,5,64
2000,RHINELAND,GRAIN CORN,PIONEER 3970(X0754A),15,1425,2.826,5,64
2000,RHINELAND,GRAIN CORN,SYNGENTA NK G-4011,18,2513,2.561,5,64
2000,RHINELAND,GRAIN CORN,39M27 <PIONEER> (BT),28,2699,2.888,5,64
2000,RHINELAND,KIDNEY BEANS,FOXFIRE,14,1320,0.54,5,64
2000,RHINELAND,KIDNEY BEANS,ROG 802,9,1205,0.465,5,64
2000,RHINELAND,NON-OIL SUNFLOWERS,CHS RH 3703,5,500,0.76,5,64
2000,RHINELAND,NON-OIL SUNFLOWERS,MYCOGEN 9338,10,912,0.747,5,64
2000,RHINELAND,NON-OIL SUNFLOWERS,SEEDS2000 KODIAK,12,1783,0.695,5,64
2000,RHINELAND,NON-OIL SUNFLOWERS,6946 <SEEDS2000>,25,2941,0.841,5,64
2000,RHINELAND,OATS,AC ASSINIBOIA (OT 275),42,5106,1.641,5,64
2000,RHINELAND,OATS,RIEL,8,804.5,1.362,5,64
2000,RHINELAND,OATS,TRIPLE CROWN (OT 541),8,706,1.62,5,64
2000,RHINELAND,OTH DRY EDIBLE BEANS,BERYL,27,3294,0.709,5,64
2000,RHINELAND,OTH DRY EDIBLE BEANS,US 1140,10,1200,0.768,5,64
2000,RHINELAND,PINTO BEANS,AC OLE (HR 50),24,3264,0.801,5,64
2000,RHINELAND,PINTO BEANS,AC PINTOBA (HR 55),90,9698.2,0.899,5,64
2000,RHINELAND,PINTO BEANS,MAVERICK,42,4581.3,0.846,5,64
2000,RHINELAND,PROC POTATOES-DRYLND,RUSSET BURBANK (GEMS),13,2018,9.056,5,64
2000,RHINELAND,PROC POTATOES-DRYLND,SHEPODY,5,527,7.852,5,64
2000,RHINELAND,PROC POTATOES-IRRIG,RUSSET BURBANK (GEMS),11,2149,9.643,5,64
2000,RHINELAND,RED MEXICAN BEANS,NW-63,8,796,0.584,5,64
2000,RHINELAND,RED SPRING WHEAT,AC BARRIE (BW 661),214,41911,1.45,5,64
2000,RHINELAND,RED SPRING WHEAT,AC CADILLAC (BW 689),9,808,1.609,5,64
2000,RHINELAND,RED SPRING WHEAT,AC DOMAIN (BW 148),54,9506,1.523,5,64
2000,RHINELAND,RED SPRING WHEAT,AC MAJESTIC (BW 173),17,2503,1.45,5,64
2000,RHINELAND,RED SPRING WHEAT,MCKENZIE (BW 205),7,1213,1.403,5,64
2000,RHINELAND,SOYBEANS,P9007 <PIONEER>,17,1826,0.83,5,64
2000,RHINELAND,WHITE PEA BEANS,AC SKIPPER,6,522,0.555,5,64
2000,RHINELAND,WHITE PEA BEANS,AVANTI,7,598,0.85,5,64
2000,RHINELAND,WHITE PEA BEANS,ENVOY,24,2003,0.718,5,64
2000,RHINELAND,WHITE PEA BEANS,NAVIGATOR,90,13936,0.727,5,64
2000,RHINELAND,WHITE PEA BEANS,OAC LASER,16,1594,0.663,5,64
2000,RHINELAND,WHITE PEA BEANS,OAC THUNDER,28,2545,0.659,5,64
2000,RHINELAND,WHITE PEA BEANS,ROG 331,12,1155,0.689,5,64
2000,RHINELAND,WINTER WHEAT,CDC CLAIR,6,1175,2.032,5,64
2000,RIDING MOUNTAIN WEST,ALFALFA,ALGONQUIN,12,1041,1.269,5,65
2000,RIDING MOUNTAIN WEST,ALFALFA,COMMON (DELETED),21,2012,1.537,5,65
2000,RIDING MOUNTAIN WEST,ALFALFA/GRASS MIX.,NO VAR (ALF BRM TIM),7,698,1.377,5,65
2000,RIDING MOUNTAIN WEST,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),32,3457,1.206,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,AC EXCEL(ACS-N1),5,1004,0.509,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,CONQUEST (A98-9NR)(RT),14,2621,0.689,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,EBONY <MONSANTO> |PR 2610|,17,2071,0.534,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,INNOVATOR (HCN 92) (LT),3,520,0.64,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,INVIGOR 2273 (PHY 36) (LT),15,2477,0.755,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,Q 2,5,872,0.477,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,QUANTUM (91-21864 NA),7,1164,0.674,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,QUEST (RU3) (RT),35,6375,0.67,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,SW ARROW (SWO2601)(RT),11,2683,0.73,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,SW RAZOR (SWB2677)(RT),4,945.6,0.778,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,2153 <INVIGOR> (LT),10,1212,0.74,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,3235 <MONSANTO> |PR4406| (RT),25,4337,0.71,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,3345 <MONSANTO> |PR3665| (RT),5,1272,0.702,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,44A89 (NS1889),7,791,0.573,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,45A51 (NS2335)(RT),15,2431,0.731,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,45A71 (NS1471)(ST),6,822,0.669,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,46A65 <PIONEER> |NS1565|,12,1618,0.692,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,46A73 (NS 2207) (ST),5,717,0.778,5,65
2000,RIDING MOUNTAIN WEST,ARGENTINE CANOLA,46A76 <PIONEER> |NS2804| (ST),15,2145,0.799,5,65
2000,RIDING MOUNTAIN WEST,BARLEY,AC LACOMBE (BT 634),15,2455,1.274,5,65
2000,RIDING MOUNTAIN WEST,BARLEY,AC METCALFE (TR 232),7,710,1.139,5,65
2000,RIDING MOUNTAIN WEST,BARLEY,AC OXBOW (TR226),10,854,0.742,5,65
2000,RIDING MOUNTAIN WEST,BARLEY,EXCEL (M52),52,7268,1.391,5,65
2000,RIDING MOUNTAIN WEST,BARLEY,ROBUST,19,2864,1.347,5,65
2000,RIDING MOUNTAIN WEST,EXTRA STRONG WHEAT,GLENLEA,3,588,1.035,5,65
2000,RIDING MOUNTAIN WEST,EXTRA STRONG WHEAT,LASER (PT754),4,541,1.237,5,65
2000,RIDING MOUNTAIN WEST,FIELD PEAS,DELTA (CEBECO 1431),10,1554,1.248,5,65
2000,RIDING MOUNTAIN WEST,FIELD PEAS,"MAJORET (ATLAS, SVC35121)",5,1109,1.059,5,65
2000,RIDING MOUNTAIN WEST,FIELD PEAS,SCUBA (ZB2),3,634,0.831,5,65
2000,RIDING MOUNTAIN WEST,FIELD PEAS,SWING (CEB 1437),3,653,1.248,5,65
2000,RIDING MOUNTAIN WEST,FLAX,NORLIN,16,1699,0.4,5,65
2000,RIDING MOUNTAIN WEST,NATIVE HAY,NO VAR (TYPE UNKNOWN),5,863,0.381,5,65
2000,RIDING MOUNTAIN WEST,OATS,AC ASSINIBOIA (OT 275),10,1023,1.482,5,65
2000,RIDING MOUNTAIN WEST,OATS,DERBY,17,2407,1.631,5,65
2000,RIDING MOUNTAIN WEST,OATS,DUMONT,6,568,0.622,5,65
2000,RIDING MOUNTAIN WEST,OATS,ROBERT,15,1194,1.072,5,65
2000,RIDING MOUNTAIN WEST,RAPESEED,MILLENNIUM 03,3,639,0.777,5,65
2000,RIDING MOUNTAIN WEST,RED SPRING WHEAT,AC BARRIE (BW 661),45,8311,0.939,5,65
2000,RIDING MOUNTAIN WEST,RED SPRING WHEAT,AC CADILLAC (BW 689),5,1517,1.444,5,65
2000,RIDING MOUNTAIN WEST,RED SPRING WHEAT,AC DOMAIN (BW 148),54,14267,1.115,5,65
2000,RIDING MOUNTAIN WEST,RED SPRING WHEAT,AC ELSA (BW 685),5,1206,1.152,5,65
2000,RIDING MOUNTAIN WEST,RED SPRING WHEAT,AC INTREPID (BW 693),26,3695,1.296,5,65
2000,RIDING MOUNTAIN WEST,RED SPRING WHEAT,AC SPLENDOR (BW 191),5,778,1.073,5,65
2000,RIDING MOUNTAIN WEST,RED SPRING WHEAT,CDC TEAL (BW 616),77,20820,1.112,5,65
2000,RIDING MOUNTAIN WEST,RED SPRING WHEAT,ROBLIN,9,1190,0.851,5,65
2000,RITCHOT,ARGENTINE CANOLA,INVIGOR 2273 (PHY 36) (LT),5,787,0.275,5,66
2000,RITCHOT,ARGENTINE CANOLA,QUANTUM (91-21864 NA),6,647,0.573,5,66
2000,RITCHOT,ARGENTINE CANOLA,3311 <MONSANTO> |PR 5369|,3,593,0.384,5,66
2000,RITCHOT,ARGENTINE CANOLA,34-55(DKL) (RT),4,689,0.372,5,66
2000,RITCHOT,ARGENTINE CANOLA,"401 (AV9401,HYOLA 404)",8,1837,0.165,5,66
2000,RITCHOT,ARGENTINE CANOLA,46A65 <PIONEER> |NS1565|,19,4049,0.342,5,66
2000,RITCHOT,ARGENTINE CANOLA,46A76 <PIONEER> |NS2804| (ST),7,1959,0.337,5,66
2000,RITCHOT,BARLEY,ROBUST,6,1070,1.153,5,66
2000,RITCHOT,FLAX,AC EMERSON (FP 935),14,2075,0.286,5,66
2000,RITCHOT,OATS,AC ASSINIBOIA (OT 275),25,5881,1.236,5,66
2000,RITCHOT,OATS,RIEL,4,942,1.29,5,66
2000,RITCHOT,OATS,TRIPLE CROWN (OT 541),12,2512,1.428,5,66
2000,RITCHOT,RED SPRING WHEAT,AC BARRIE (BW 661),65,19117,0.8,5,66
2000,RIVERDALE,ALFALFA,ALGONQUIN,5,634,1.514,5,67
2000,RIVERDALE,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),6,530,1.685,5,67
2000,RIVERDALE,ARGENTINE CANOLA,EXCEED (HCN 35)(LT),4,822,0.538,5,67
2000,RIVERDALE,ARGENTINE CANOLA,INVIGOR 2273 (PHY 36) (LT),21,4610,0.679,5,67
2000,RIVERDALE,ARGENTINE CANOLA,"NEX 500 <NEXERA> |CSV10, 95-09|",3,501,0.482,5,67
2000,RIVERDALE,ARGENTINE CANOLA,QUEST (RU3) (RT),4,544,0.674,5,67
2000,RIVERDALE,ARGENTINE CANOLA,3235 <MONSANTO> |PR4406| (RT),5,779,0.717,5,67
2000,RIVERDALE,ARGENTINE CANOLA,46A65 <PIONEER> |NS1565|,9,1777,0.683,5,67
2000,RIVERDALE,ARGENTINE CANOLA,46A76 <PIONEER> |NS2804| (ST),6,1099,0.713,5,67
2000,RIVERDALE,BARLEY,AC LACOMBE (BT 634),7,776,1.221,5,67
2000,RIVERDALE,BARLEY,AC METCALFE (TR 232),5,544,1.274,5,67
2000,RIVERDALE,BARLEY,ROBUST,30,3438,1.369,5,67
2000,RIVERDALE,DURUM WHEAT,AC AVONLEA (DT661),8,1365,1.272,5,67
2000,RIVERDALE,DURUM WHEAT,AC MORSE (DT484),4,1124,1.062,5,67
2000,RIVERDALE,FIELD PEAS,EIFFEL (4-9076),3,896,1.091,5,67
2000,RIVERDALE,FIELD PEAS,MARCO (SVE 32630),4,515,1.183,5,67
2000,RIVERDALE,FIELD PEAS,PROFI,5,608,1.205,5,67
2000,RIVERDALE,FLAX,CDC NORMANDY (FP 966),7,735,0.492,5,67
2000,RIVERDALE,LENTILS,ESTON,8,1116,0.594,5,67
2000,RIVERDALE,OATS,AC ASSINIBOIA (OT 275),15,2031,1.374,5,67
2000,RIVERDALE,OATS,TRIPLE CROWN (OT 541),20,1717,1.255,5,67
2000,RIVERDALE,RED SPRING WHEAT,AC BARRIE (BW 661),60,16951,1.065,5,67
2000,RIVERDALE,RED SPRING WHEAT,AC CADILLAC (BW 689),5,804,1.108,5,67
2000,RIVERDALE,RED SPRING WHEAT,AC CORA (BW 152),5,776,1.111,5,67
2000,RIVERDALE,RED SPRING WHEAT,AC MAJESTIC (BW 173),10,2171,0.976,5,67
2000,RIVERDALE,RED SPRING WHEAT,CDC TEAL (BW 616),9,1879,0.952,5,67
2000,RIVERDALE,WINTER WHEAT,CDC CLAIR,4,548,1.62,5,67
2000,RIVERDALE,WINTER WHEAT,CDC KESTREL (W202),7,1495,1.471,5,67
2000,ROCKWOOD,ALFALFA,COMMON (DELETED),13,961,3.268,5,68
2000,ROCKWOOD,ALFALFA/GRASS MIX.,NO VAR (ALF & TIM),9,764,2.336,5,68
2000,ROCKWOOD,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),11,1422,1.726,5,68
2000,ROCKWOOD,ARGENTINE CANOLA,INVIGOR 2273 (PHY 36) (LT),17,2429,0.554,5,68
2000,ROCKWOOD,ARGENTINE CANOLA,Q 2,5,552,0.454,5,68
2000,ROCKWOOD,ARGENTINE CANOLA,SW RIDER (SWA2658)(RT),6,526,0.563,5,68
2000,ROCKWOOD,ARGENTINE CANOLA,3235 <MONSANTO> |PR4406| (RT),6,845,0.393,5,68
2000,ROCKWOOD,ARGENTINE CANOLA,34-55(DKL) (RT),6,769,0.499,5,68
2000,ROCKWOOD,ARGENTINE CANOLA,"401 (AV9401,HYOLA 404)",4,1172,0.672,5,68
2000,ROCKWOOD,ARGENTINE CANOLA,45A51 (NS2335)(RT),4,600,0.595,5,68
2000,ROCKWOOD,ARGENTINE CANOLA,46A65 <PIONEER> |NS1565|,19,2745,0.583,5,68
2000,ROCKWOOD,ARGENTINE CANOLA,46A76 <PIONEER> |NS2804| (ST),28,5267,0.669,5,68
2000,ROCKWOOD,BARLEY,AC METCALFE (TR 232),7,798,1.242,5,68
2000,ROCKWOOD,BARLEY,CDC STRATUS (TR 128),20,4585,1.617,5,68
2000,ROCKWOOD,BARLEY,ROBUST,37,4731,1.346,5,68
2000,ROCKWOOD,BARLEY,STANDER,4,1303,1.381,5,68
2000,ROCKWOOD,FLAX,CDC NORMANDY (FP 966),5,560,0.383,5,68
2000,ROCKWOOD,GRASSES,NO VAR,3,585,1.537,5,68
2000,ROCKWOOD,NON-OIL SUNFLOWERS,6946 <SEEDS2000>,3,1065,0.651,5,68
2000,ROCKWOOD,OATS,AC ASSINIBOIA (OT 275),37,5500,1.374,5,68
2000,ROCKWOOD,OATS,RIEL,17,1872,1.571,5,68
2000,ROCKWOOD,OATS,TRIPLE CROWN (OT 541),6,830,1.445,5,68
2000,ROCKWOOD,RED SPRING WHEAT,AC BARRIE (BW 661),91,25981,1.254,5,68
2000,ROCKWOOD,RED SPRING WHEAT,AC DOMAIN (BW 148),13,2194,0.872,5,68
2000,ROCKWOOD,RED SPRING WHEAT,KATEPWA,3,915,0.744,5,68
2000,ROCKWOOD,WHITE PEA BEANS,ENVOY,13,1913,0.509,5,68
2000,ROLAND,ARGENTINE CANOLA,CONQUEST (A98-9NR)(RT),7,891,0.714,5,69
2000,ROLAND,ARGENTINE CANOLA,EBONY <MONSANTO> |PR 2610|,4,1031,0.854,5,69
2000,ROLAND,ARGENTINE CANOLA,INVIGOR 2273 (PHY 36) (LT),4,515,0.911,5,69
2000,ROLAND,ARGENTINE CANOLA,QUEST (RU3) (RT),15,1937,0.672,5,69
2000,ROLAND,ARGENTINE CANOLA,3235 <MONSANTO> |PR4406| (RT),8,1296,0.735,5,69
2000,ROLAND,ARGENTINE CANOLA,3345 <MONSANTO> |PR3665| (RT),5,826,0.764,5,69
2000,ROLAND,ARGENTINE CANOLA,3930 (PR4451) (LL),5,1054,0.604,5,69
2000,ROLAND,ARGENTINE CANOLA,46A65 <PIONEER> |NS1565|,19,2306,0.848,5,69
2000,ROLAND,ARGENTINE CANOLA,46A76 <PIONEER> |NS2804| (ST),18,2913,0.905,5,69
2000,ROLAND,BARLEY,EXCEL (M52),6,835.4,1.564,5,69
2000,ROLAND,BARLEY,ROBUST,7,1461.2,1.826,5,69
2000,ROLAND,EXTRA STRONG WHEAT,GLENLEA,6,1037,1.315,5,69
2000,ROLAND,FLAX,AC MCDUFF,4,576,0.725,5,69
2000,ROLAND,FLAX,FLANDERS (FP 859),11,1501,0.478,5,69
2000,ROLAND,FLAX,NORLIN,5,892,0.518,5,69
2000,ROLAND,GRAIN CORN,PIONEER 39K72,16,1378,2.387,5,69
2000,ROLAND,GRAIN CORN,PIONEER 39K73 (BT),24,2864,2.405,5,69
2000,ROLAND,GRAIN CORN,PIONEER 39T68,6,1161,2.555,5,69
2000,ROLAND,GRAIN CORN,PIONEER 3970(X0754A),10,885,2.44,5,69
2000,ROLAND,GRAIN CORN,39M27 <PIONEER> (BT),16,1509,2.47,5,69
2000,ROLAND,NON-OIL SUNFLOWERS,MYCOGEN 9338,4,505,0.564,5,69
2000,ROLAND,NON-OIL SUNFLOWERS,6946 <SEEDS2000>,8,1710,0.811,5,69
2000,ROLAND,OATS,AC ASSINIBOIA (OT 275),38,5571,1.585,5,69
2000,ROLAND,OATS,RIEL,4,880,1.131,5,69
2000,ROLAND,OATS,TRIPLE CROWN (OT 541),12,2062,1.456,5,69
2000,ROLAND,PINTO BEANS,AC OLE (HR 50),5,605,0.675,5,69
2000,ROLAND,PINTO BEANS,AC PINTOBA (HR 55),24,4393,0.732,5,69
2000,ROLAND,RED MEXICAN BEANS,NW-63,5,755,0.57,5,69
2000,ROLAND,RED SPRING WHEAT,AC BARRIE (BW 661),96,24135,1.384,5,69
2000,ROLAND,RED SPRING WHEAT,AC CORA (BW 152),10,1648,1.326,5,69
2000,ROLAND,RED SPRING WHEAT,AC DOMAIN (BW 148),16,2623,1.452,5,69
2000,ROLAND,RED SPRING WHEAT,AC MAJESTIC (BW 173),17,3324,1.431,5,69
2000,ROLAND,SOYBEANS,P9007 <PIONEER>,8,948,0.873,5,69
2000,ROLAND,WHITE PEA BEANS,ENVOY,19,3552,0.636,5,69
2000,ROLAND,WHITE PEA BEANS,NAVIGATOR,16,2348,0.67,5,69
2000,ROLAND,WHITE PEA BEANS,OAC LASER,9,1131,0.491,5,69
2000,ROSEDALE,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),9,779,1.732,5,70
2000,ROSEDALE,ARGENTINE CANOLA,INVIGOR 2273 (PHY 36) (LT),29,10278,0.782,5,70
2000,ROSEDALE,ARGENTINE CANOLA,QUEST (RU3) (RT),5,598,0.623,5,70
2000,ROSEDALE,ARGENTINE CANOLA,3235 <MONSANTO> |PR4406| (RT),4,831,0.704,5,70
2000,ROSEDALE,ARGENTINE CANOLA,"401 (AV9401,HYOLA 404)",4,1045,0.894,5,70
2000,ROSEDALE,ARGENTINE CANOLA,46A65 <PIONEER> |NS1565|,6,1336,0.763,5,70
2000,ROSEDALE,ARGENTINE CANOLA,46A76 <PIONEER> |NS2804| (ST),10,2830,0.782,5,70
2000,ROSEDALE,BARLEY,B1602 (BT 922),6,815,1.509,5,70
2000,ROSEDALE,BARLEY,EXCEL (M52),10,1462,1.256,5,70
2000,ROSEDALE,BARLEY,ROBUST,15,5087,1.331,5,70
2000,ROSEDALE,DURUM WHEAT,AC MORSE (DT484),4,1440,1.436,5,70
2000,ROSEDALE,OATS,AC ASSINIBOIA (OT 275),8,1412,1.729,5,70
2000,ROSEDALE,RED SPRING WHEAT,AC BARRIE (BW 661),49,14879.5,1.117,5,70
2000,ROSEDALE,RED SPRING WHEAT,AC CORA (BW 152),8,1247,1.09,5,70
2000,ROSEDALE,RED SPRING WHEAT,AC DOMAIN (BW 148),10,2514,1.064,5,70
2000,ROSEDALE,RED SPRING WHEAT,AC INTREPID (BW 693),5,798,1.048,5,70
2000,ROSEDALE,RED SPRING WHEAT,CDC TEAL (BW 616),8,1677,1.068,5,70
2000,ROSEDALE,WINTER WHEAT,CDC KESTREL (W202),3,952,1.76,5,70
2000,ROSSBURN,ALFALFA,ALGONQUIN,8,843,1.79,5,71
